Transect,Seq (1-42),Co.,Donor_ID,Recipient_ID,Date (mm/dd),1,2,3,4,5,6,7,8
W1,1,5,AC_216,AC_34,Germ,5-Dec,5-Dec,3-Nov,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec
W1,1,5,AC_216,AC_34,Flow,,,,,,,,
W1,2,1,AC_007,AC_81,Germ,5-Dec,3-Nov,,5-Dec,5-Dec,,3-Nov,5-Dec
W1,2,1,AC_007,AC_81,Flow,,,,,,,,
W1,3,4,AC_91,AC_204,Germ,5-Dec,5-Dec,5-Dec,3-Nov,5-Dec,5-Dec,3-Nov,3-Nov
W1,3,4,AC_91,AC_204,Flow,,,,,,,,
W1,4,3,AC_15,AC_97,Germ,3-Nov,5-Dec,5-Dec,3-Nov,5-Dec,3-Nov,5-Dec,5-Dec
W1,4,3,AC_15,AC_97,Flow,,,,,,,,
W1,5,4,AC_94,AC_109,Germ,5-Dec,5-Dec,5-Dec,5-Dec,3-Nov,5-Dec,5-Dec,3-Nov
W1,5,4,AC_94,AC_109,Flow,,,,,,,,
W1,6,4,AC_91,AC_218,Germ,3-Nov,3-Nov,3-Nov,3-Nov,3-Nov,3-Nov,5-Dec,
W1,6,4,AC_91,AC_218,Flow,,,,,,,,
W1,7,4,AC_94,AC_216,Germ,3-Nov,3-Nov,5-Dec,3-Nov,3-Nov,3-Nov,5-Dec,3-Nov
W1,7,4,AC_94,AC_216,Flow,,,,,,,,
W1,8,2,AC_207,AC_55,Germ,5-Dec,5-Dec,3-Nov,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec
W1,8,2,AC_207,AC_55,Flow,,,,,,,,
W1,9,5,AC_172,AC_111,Germ,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec
W1,9,5,AC_172,AC_111,Flow,,,,,,,,
W1,10,2,AC_207,AC_82,Germ,5-Dec,5-Dec,3-Nov,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec
W1,10,2,AC_207,AC_82,Flow,,,,,,,,
W1,11,5,AC_172,AC_40,Germ,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec
W1,11,5,AC_172,AC_40,Flow,,,,,,,,
W1,12,5,AC_216,AC_99,Germ,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec
W1,12,5,AC_216,AC_99,Flow,,,,,,,,
W1,13,5,AC_172,AC_208,Germ,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec
W1,13,5,AC_172,AC_208,Flow,,,,,,,,
W1,14,1,AC_007,AC_147,Germ,5-Dec,5-Dec,3-Nov,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec
W1,14,1,AC_007,AC_147,Flow,,,,,,,,
W1,15,4,AC_91,AC_189,Germ,3-Nov,3-Nov,3-Nov,3-Nov,3-Nov,,,3-Nov
W1,15,4,AC_91,AC_189,Flow,,,,,,,,
W1,16,2,AC_207,AC_70,Germ,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec
W1,16,2,AC_207,AC_70,Flow,,,,,,,,
W1,17,4,AC_94,AC_217,Germ,5-Dec,3-Nov,5-Dec,,3-Nov,5-Dec,5-Dec,5-Dec
W1,17,4,AC_94,AC_217,Flow,,,,,,,,
W1,18,5,AC_216,AC_58,Germ,5-Dec,5-Dec,3-Nov,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec
W1,18,5,AC_216,AC_58,Flow,,,,,,,,
W1,19,1,AC_007,AC_187,Germ,3-Nov,3-Nov,5-Dec,3-Nov,3-Nov,5-Dec,3-Nov,3-Nov
W1,19,1,AC_007,AC_187,Flow,,,,,,,,
W1,20,3,AC_15,AC_197,Germ,3-Nov,5-Dec,5-Dec,5-Dec,3-Nov,5-Dec,3-Nov,5-Dec
W1,20,3,AC_15,AC_197,Flow,,,,,,,,
W1,21,3,AC_15,AC_190,Germ,,5-Dec,,,5-Dec,,5-Dec,5-Dec
W1,21,3,AC_15,AC_190,Flow,,,,,,,,
W2,22,2,AC_207,AC_55,Germ,3-Nov,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,
W2,22,2,AC_207,AC_55,Flow,,,,,,,,
W2,23,1,AC_007,AC_147,Germ,5-Dec,5-Dec,3-Nov,,"12/5/2021, ?",5-Dec,3-Nov,3-Nov
W2,23,1,AC_007,AC_147,Flow,,,,,,,,Dead 12/5
W2,24,4,AC_91,AC_204,Germ,3-Nov,5-Dec,3-Nov,5-Dec,3-Nov,3-Nov,3-Nov,5-Dec
W2,24,4,AC_91,AC_204,Flow,,,,,,,,
W2,25,3,AC_15,AC_190,Germ,5-Dec,3-Nov,,5-Dec,,5-Dec,5-Dec,
W2,25,3,AC_15,AC_190,Flow,,Dead 12/5,,,,,,
W2,26,3,AC_15,AC_97,Germ,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,3-Nov,5-Dec,3-Nov
W2,26,3,AC_15,AC_97,Flow,,,,,,,,
W2,27,4,AC_94,AC_217,Germ,3-Nov,3-Nov,3-Nov,5-Dec,5-Dec,,,5-Dec
W2,27,4,AC_94,AC_217,Flow,,,,,,,,
W2,28,5,AC_216,AC_58,Germ,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,3-Nov,5-Dec
W2,28,5,AC_216,AC_58,Flow,,,,,,,,
W2,29,4,AC_94,AC_216,Germ,3-Nov,3-Nov,3-Nov,5-Dec,5-Dec,3-Nov,3-Nov,5-Dec
W2,29,4,AC_94,AC_216,Flow,,,,,,,,
W2,30,1,AC_007,AC_187,Germ,3-Nov,3-Nov,5-Dec,5-Dec,3-Nov,3-Nov,5-Dec,3-Nov
W2,30,1,AC_007,AC_187,Flow,,,,,,,,
W2,31,5,AC_172,AC_40,Germ,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec
W2,31,5,AC_172,AC_40,Flow,,,,,,,,
W2,32,4,AC_91,AC_189,Germ,5-Dec,5-Dec,5-Dec,3-Nov,3-Nov,,3-Nov,5-Dec
W2,32,4,AC_91,AC_189,Flow,,,,,,,,
W2,33,5,AC_216,AC_99,Germ,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec
W2,33,5,AC_216,AC_99,Flow,,,,,,,,
W2,34,5,AC_172,AC_208,Germ,5-Dec,5-Dec,,,5-Dec,5-Dec,5-Dec,
W2,34,5,AC_172,AC_208,Flow,,,,,,,,
W2,35,5,AC_172,AC_111,Germ,5-Dec,5-Dec,,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec
W2,35,5,AC_172,AC_111,Flow,,,,,,,,
W2,36,5,AC_216,AC_34,Germ,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec
W2,36,5,AC_216,AC_34,Flow,,,,,,,,
W2,37,2,AC_207,AC_82,Germ,5-Dec,5-Dec,5-Dec,5-Dec,3-Nov,5-Dec,5-Dec,5-Dec
W2,37,2,AC_207,AC_82,Flow,,,,,,,,
W2,38,1,AC_007,AC_81,Germ,3-Nov,5-Dec,3-Nov,5-Dec,,5-Dec,,5-Dec
W2,38,1,AC_007,AC_81,Flow,,,,,,,,
W2,39,2,AC_207,AC_70,Germ,5-Dec,5-Dec,,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec
W2,39,2,AC_207,AC_70,Flow,,,,,,,,
W2,40,4,AC_94,AC_109,Germ,3-Nov,5-Dec,3-Nov,5-Dec,5-Dec,5-Dec,3-Nov,5-Dec
W2,40,4,AC_94,AC_109,Flow,,,,,,,,
W2,41,4,AC_91,AC_218,Germ,3-Nov,5-Dec,5-Dec,3-Nov,5-Dec,3-Nov,5-Dec,3-Nov
W2,41,4,AC_91,AC_218,Flow,,,,,,,,
W2,42,3,AC_15,AC_197,Germ,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec,5-Dec
W2,42,3,AC_15,AC_197,Flow,,,,,,,,
